#;name of the book;author;;move?;check?;released?;year;page;category;read?;reading?;tbr?;reread?;shelf;location;Info;image;#;;
3384;Kapitalist Gercekcilik Baska Alternatif Yok mu?;Mark Fisher;Kapitalist Gercekcilik Baska Alternatif Yok mu?. Mark Fisher;n/a;;;2020;96;category?;read?;-;📋;reread?;C-4;house-2;https://www.google.com/search?q=Kapitalist%20Gercekcilik%20Baska%20Alternatif%20Yok%20mu?%20Mark%20Fisher;https://www.google.com/search?q=Kapitalist%20Gercekcilik%20Baska%20Alternatif%20Yok%20mu?%20Mark%20Fisher&tbm=isch;2384; ;
3383;Anlamiyorsun Iste - Genc Kadin Icin Yasam Rehberi;Tara Porter;Anlamiyorsun Iste - Genc Kadin Icin Yasam Rehberi. Tara Porter;n/a;;;2023;352;category?;read?;-;📋;reread?;C-4;house-2;https://www.google.com/search?q=Anlamiyorsun%20Iste%20-%20Genc%20Kadin%20Icin%20Yasam%20Rehberi%20Tara%20Porter;https://www.google.com/search?q=Anlamiyorsun%20Iste%20-%20Genc%20Kadin%20Icin%20Yasam%20Rehberi%20Tara%20Porter&tbm=isch;2383; ;
3382;Kara Tutmasi;Nikolaj Schultz;Kara Tutmasi. Nikolaj Schultz;n/a;;;2026;88;category?;read?;-;📋;reread?;C-4;house-2;https://www.google.com/search?q=Kara%20Tutmasi%20Nikolaj%20Schultz;https://www.google.com/search?q=Kara%20Tutmasi%20Nikolaj%20Schultz&tbm=isch;2382; ;
3381;Menopoz Rehberi - Kendini Yeniden Kesfetme ve Guclenme Yolculugu;Melis Alphan;Menopoz Rehberi - Kendini Yeniden Kesfetme ve Guclenme Yolculugu. Melis Alphan;n/a;;;2025;232;category?;read?;-;📋;reread?;C-4;house-2;https://www.google.com/search?q=Menopoz%20Rehberi%20-%20Kendini%20Yeniden%20Kesfetme%20ve%20Guclenme%20Yolculugu%20Melis%20Alphan;https://www.google.com/search?q=Menopoz%20Rehberi%20-%20Kendini%20Yeniden%20Kesfetme%20ve%20Guclenme%20Yolculugu%20Melis%20Alphan&tbm=isch;2381; ;
3380;Kadinlardan Nefret Eden Erkekler;Laura Bates;Kadinlardan Nefret Eden Erkekler. Laura Bates;n/a;;;2026;480;category?;read?;-;📋;reread?;C-4;house-2;https://www.google.com/search?q=Kadinlardan%20Nefret%20Eden%20Erkekler%20Laura%20Bates;https://www.google.com/search?q=Kadinlardan%20Nefret%20Eden%20Erkekler%20Laura%20Bates&tbm=isch;2380; ;
3379;Jacques Lacan’in Kurami Uzerine Bes Ders;J. D. Nasio;Jacques Lacan’in Kurami Uzerine Bes Ders. J. D. Nasio;n/a;;;2025;256;category?;read?;-;📋;reread?;C-4;house-2;https://www.google.com/search?q=Jacques%20Lacan%E2%80%99in%20Kurami%20Uzerine%20Bes%20Ders%20J.%20D.%20Nasio;https://www.google.com/search?q=Jacques%20Lacan%E2%80%99in%20Kurami%20Uzerine%20Bes%20Ders%20J.%20D.%20Nasio&tbm=isch;2379; ;
3378;Prozac Toplumu;Elizabeth Wurtzel;Prozac Toplumu. Elizabeth Wurtzel;n/a;;;2005;360;Biography & Life Stories;✅;-;tbr?;reread?;C-4;house-2;https://www.google.com/search?q=Prozac%20Toplumu%20Elizabeth%20Wurtzel;https://www.google.com/search?q=Prozac%20Toplumu%20Elizabeth%20Wurtzel&tbm=isch;2378; ;
3377;Radikal Belirsizlik - Jean Baudrillard;Mike Gain;Radikal Belirsizlik - Jean Baudrillard. Mike Gain;n/a;;;2024;216;category?;read?;-;📋;reread?;C-4;house-2;https://www.google.com/search?q=Radikal%20Belirsizlik%20-%20Jean%20Baudrillard%20Mike%20Gain;https://www.google.com/search?q=Radikal%20Belirsizlik%20-%20Jean%20Baudrillard%20Mike%20Gain&tbm=isch;2377; ;
3376;Toplumsal Cinsiyet ve Iktidar - Toplum, Kisi ve Cinsel Politika;R. W. Connell;Toplumsal Cinsiyet ve Iktidar - Toplum, Kisi ve Cinsel Politika. R. W. Connell;n/a;;;2016;464;category?;read?;-;📋;reread?;C-4;house-2;https://www.google.com/search?q=Toplumsal%20Cinsiyet%20ve%20Iktidar%20-%20Toplum,%20Kisi%20ve%20Cinsel%20Politika%20R.%20W.%20Connell;https://www.google.com/search?q=Toplumsal%20Cinsiyet%20ve%20Iktidar%20-%20Toplum,%20Kisi%20ve%20Cinsel%20Politika%20R.%20W.%20Connell&tbm=isch;2376; ;
3375;Feminist Teori - Entelektuel Gelenekler;Josephine Donovan;Feminist Teori - Entelektuel Gelenekler. Josephine Donovan;n/a;;;1997;406;category?;read?;-;📋;reread?;C-4;house-2;https://www.google.com/search?q=Feminist%20Teori%20-%20Entelektuel%20Gelenekler%20Josephine%20Donovan;https://www.google.com/search?q=Feminist%20Teori%20-%20Entelektuel%20Gelenekler%20Josephine%20Donovan&tbm=isch;2375; ;
